Species,Date,JulianDay,JulDay,Lake,Total,PropBrood,PropAdBrood,PropAsexAdBrood
Ceriodaphnia,12-Sep-14,2014255,255,Appleton,3,0,0,0
Dentifera,18-Jul-14,2014199,199,Appleton,327,0.003058104,0.005952381,0.005988024
Dentifera,31-Jul-14,2014212,212,Appleton,204,0,0,0
Dentifera,13-Aug-14,2014225,225,Appleton,229,0,0,0
Dentifera,28-Aug-14,2014240,240,Appleton,237,0.004219409,0.011363636,0.011494253
Dentifera,12-Sep-14,2014255,255,Appleton,225,0,0,0
Dentifera,26-Sep-14,2014269,269,Appleton,205,0.009756098,0.02173913,0.022222222
Dentifera,7-Oct-14,2014280,280,Appleton,282,0.039007092,0.070512821,0.075862069
Dentifera,24-Oct-14,2014297,297,Appleton,238,0,0,0
Dentifera,4-Nov-14,2014308,308,Appleton,216,0,0,0
Dubia,18-Jul-14,2014199,199,Appleton,3,0,0,0
Dubia,31-Jul-14,2014212,212,Appleton,17,0,0,0
Dubia,13-Aug-14,2014225,225,Appleton,2,0,0,0
Dubia,28-Aug-14,2014240,240,Appleton,45,0,0,0
Dubia,12-Sep-14,2014255,255,Appleton,35,0,0,0
Dubia,26-Sep-14,2014269,269,Appleton,185,0.005405405,0.00952381,0.009615385
Dubia,7-Oct-14,2014280,280,Appleton,54,0,0,0
Dubia,24-Oct-14,2014297,297,Appleton,83,0,0,0
Dubia,4-Nov-14,2014308,308,Appleton,143,0,0,0
Parvula,13-Aug-14,2014225,225,Appleton,2,0,0,0
Pulicaria,18-Jul-14,2014199,199,Appleton,233,0.008583691,0.017094017,0.01754386
Pulicaria,31-Jul-14,2014212,212,Appleton,226,0,0,0
Pulicaria,13-Aug-14,2014225,225,Appleton,247,0,0,0
Pulicaria,28-Aug-14,2014240,240,Appleton,403,0,0,0
Pulicaria,12-Sep-14,2014255,255,Appleton,200,0,0,0
Pulicaria,26-Sep-14,2014269,269,Appleton,215,0,0,0
Pulicaria,7-Oct-14,2014280,280,Appleton,347,0.002881844,0.014925373,0.015151515
Pulicaria,24-Oct-14,2014297,297,Appleton,91,0,0,0
Retrocurva,18-Jul-14,2014199,199,Appleton,258,0.015503876,0.038461538,0.04
Retrocurva,31-Jul-14,2014212,212,Appleton,164,0,0,0
Retrocurva,13-Aug-14,2014225,225,Appleton,61,0,0,0
Retrocurva,28-Aug-14,2014240,240,Appleton,143,0.006993007,0.010869565,0.010989011
Retrocurva,12-Sep-14,2014255,255,Appleton,97,0,0,0
Retrocurva,26-Sep-14,2014269,269,Appleton,217,0.004608295,0.009433962,0.00952381
Retrocurva,7-Oct-14,2014280,280,Appleton,192,0,0,0
Retrocurva,24-Oct-14,2014297,297,Appleton,226,0,0,0
Retrocurva,4-Nov-14,2014308,308,Appleton,262,0.003816794,0.009090909,0.009345794
Ambigua,18-Jul-14,2014199,199,Bishop,10,0,0,0
Ambigua,31-Jul-14,2014212,212,Bishop,3,0,0,0
Ambigua,13-Aug-14,2014225,225,Bishop,12,0,0,0
Ambigua,28-Aug-14,2014240,240,Bishop,7,0,0,0
Ambigua,12-Sep-14,2014255,255,Bishop,15,0,0,0
Ambigua,26-Sep-14,2014269,269,Bishop,1,0,0,0
Ambigua,7-Oct-14,2014280,280,Bishop,29,0,0,0
Ambigua,24-Oct-14,2014297,297,Bishop,2,0,0,0
Ambigua,4-Nov-14,2014308,308,Bishop,17,0,0,0
Ceriodaphnia,13-Aug-14,2014225,225,Bishop,3,0,0,0
Ceriodaphnia,25-Aug-14,2014237,237,Bishop,65,0,0,0
Ceriodaphnia,12-Sep-14,2014255,255,Bishop,127,0,0,0
Ceriodaphnia,26-Sep-14,2014269,269,Bishop,65,0,0,0
Ceriodaphnia,7-Oct-14,2014280,280,Bishop,559,0.001788909,0.002217295,0.002272727
Ceriodaphnia,24-Oct-14,2014297,297,Bishop,261,0.007662835,0.017391304,0.017699115
Ceriodaphnia,4-Nov-14,2014308,308,Bishop,306,0,0,0
Dentifera,18-Jul-14,2014199,199,Bishop,381,0,0,0
Dentifera,31-Jul-14,2014212,212,Bishop,138,0,0,0
Dentifera,13-Aug-14,2014225,225,Bishop,146,0,0,0
Dentifera,28-Aug-14,2014240,240,Bishop,200,0,0,0
Dentifera,12-Sep-14,2014255,255,Bishop,201,0,0,0
Dentifera,26-Sep-14,2014269,269,Bishop,206,0,0,0
Dentifera,7-Oct-14,2014280,280,Bishop,306,0.006535948,0.02247191,0.022988506
Dentifera,24-Oct-14,2014297,297,Bishop,352,0.008522727,0.024,0.02970297
Dentifera,4-Nov-14,2014308,308,Bishop,227,0,0,0
Dubia,18-Jul-14,2014199,199,Bishop,171,0.005847953,0.023809524,0.024390244
Dubia,31-Jul-14,2014212,212,Bishop,51,0,0,0
Dubia,13-Aug-14,2014225,225,Bishop,154,0,0,0
Dubia,28-Aug-14,2014240,240,Bishop,227,0,0,0
Dubia,12-Sep-14,2014255,255,Bishop,197,0.025380711,0.076923077,0.083333333
Dubia,26-Sep-14,2014269,269,Bishop,35,0.028571429,0.083333333,0.090909091
Dubia,7-Oct-14,2014280,280,Bishop,111,0.009009009,0.023255814,0.023809524
Dubia,24-Oct-14,2014297,297,Bishop,45,0.022222222,0.083333333,0.090909091
Dubia,4-Nov-14,2014308,308,Bishop,93,0.075268817,0.107692308,0.120689655
Parvula,26-Sep-14,2014269,269,Bishop,2,0.5,1,0
Pulicaria,18-Jul-14,2014199,199,Bishop,77,0,0,0
Pulicaria,31-Jul-14,2014212,212,Bishop,25,0,0,0
Pulicaria,13-Aug-14,2014225,225,Bishop,6,0,0,0
Pulicaria,28-Aug-14,2014240,240,Bishop,4,0,0,0
Pulicaria,12-Sep-14,2014255,255,Bishop,5,0,0,0
Pulicaria,26-Sep-14,2014269,269,Bishop,2,0,0,0
Pulicaria,7-Oct-14,2014280,280,Bishop,10,0,0,0
Pulicaria,24-Oct-14,2014297,297,Bishop,1,0,0,0
Pulicaria,4-Nov-14,2014308,308,Bishop,1,0,0,0
Retrocurva,18-Jul-14,2014199,199,Bishop,613,0.001631321,0.004807692,0.004830918
Retrocurva,31-Jul-14,2014212,212,Bishop,381,0.002624672,0.010752688,0.010869565
Retrocurva,13-Aug-14,2014225,225,Bishop,212,0,0,0
Retrocurva,28-Aug-14,2014240,240,Bishop,230,0,0,0
Retrocurva,12-Sep-14,2014255,255,Bishop,228,0.00877193,0.020408163,0.020833333
Retrocurva,26-Sep-14,2014269,269,Bishop,70,0.028571429,0.051282051,0.054054054
Retrocurva,7-Oct-14,2014280,280,Bishop,213,0.018779343,0.057142857,0.060606061
Retrocurva,24-Oct-14,2014297,297,Bishop,318,0.037735849,0.082758621,0.090225564
Retrocurva,4-Nov-14,2014308,308,Bishop,448,0.022321429,0.052910053,0.056179775
Ceriodaphnia,14-Oct-14,2014287,287,Bruin,1,0,0,0
Dentifera,23-Jul-14,2014204,204,Bruin,209,0,0,0
Dentifera,4-Aug-14,2014216,216,Bruin,224,0,0,0
Dentifera,18-Aug-14,2014230,230,Bruin,132,0,0,0
Dentifera,2-Sep-14,2014245,245,Bruin,212,0,0,0
Dentifera,15-Sep-14,2014258,258,Bruin,173,0,0,0
Dentifera,29-Sep-14,2014272,272,Bruin,221,0.009049774,0.03125,0.032258065
Dentifera,14-Oct-14,2014287,287,Bruin,169,0,0,0
Dentifera,27-Oct-14,2014300,300,Bruin,62,0,0,0
Dentifera,11-Nov-14,2014315,315,Bruin,9,0,0,0
Dubia,23-Jul-14,2014204,204,Bruin,197,0.005076142,0.011363636,0.011494253
Dubia,4-Aug-14,2014216,216,Bruin,205,0,0,0
Dubia,18-Aug-14,2014230,230,Bruin,154,0,0,0
Dubia,2-Sep-14,2014245,245,Bruin,230,0,0,0
Dubia,15-Sep-14,2014258,258,Bruin,169,0,0,0
Dubia,29-Sep-14,2014272,272,Bruin,173,0.01734104,0.048387097,0.050847458
Dubia,14-Oct-14,2014287,287,Bruin,196,0.010204082,0.024096386,0.024691358
Dubia,27-Oct-14,2014300,300,Bruin,15,0,0,0
Dubia,11-Nov-14,2014315,315,Bruin,12,0,0,0
Parvula,14-Oct-14,2014287,287,Bruin,2,0,0,0
Pulicaria,23-Jul-14,2014204,204,Bruin,241,0,0,0
Pulicaria,4-Aug-14,2014216,216,Bruin,258,0,0,0
Pulicaria,18-Aug-14,2014230,230,Bruin,202,0,0,0
Pulicaria,2-Sep-14,2014245,245,Bruin,262,0.003816794,0.009174312,0.009259259
Pulicaria,15-Sep-14,2014258,258,Bruin,147,0,0,0
Pulicaria,30-Sep-14,2014273,273,Bruin,13,0,0,0
Pulicaria,14-Oct-14,2014287,287,Bruin,6,0,0,0
Pulicaria,27-Oct-14,2014300,300,Bruin,11,0,0,0
Pulicaria,11-Nov-14,2014315,315,Bruin,11,0,0,0
Retrocurva,23-Jul-14,2014204,204,Bruin,186,0.005376344,0.014925373,0.015151515
Retrocurva,4-Aug-14,2014216,216,Bruin,208,0,0,0
Retrocurva,18-Aug-14,2014230,230,Bruin,114,0,0,0
Retrocurva,2-Sep-14,2014245,245,Bruin,68,0,0,0
Retrocurva,15-Sep-14,2014258,258,Bruin,161,0,0,0
Retrocurva,29-Sep-14,2014272,272,Bruin,201,0.004975124,0.016949153,0.017241379
Retrocurva,14-Oct-14,2014287,287,Bruin,238,0.008403361,0.037735849,0.039215686
Retrocurva,27-Oct-14,2014300,300,Bruin,218,0,0,0
Retrocurva,11-Nov-14,2014315,315,Bruin,483,0,0,0
Ceriodaphnia,17-Jul-14,2014198,198,Cedar,35,0,0,0
Ceriodaphnia,28-Jul-14,2014209,209,Cedar,91,0,0,0
Ceriodaphnia,27-Aug-14,2014239,239,Cedar,4,0,0,0
Ceriodaphnia,11-Sep-14,2014254,254,Cedar,2,0,0,0
Ceriodaphnia,23-Sep-14,2014266,266,Cedar,67,0,0,0
Ceriodaphnia,10-Oct-14,2014283,283,Cedar,10,0,0,0
Ceriodaphnia,22-Oct-14,2014295,295,Cedar,8,0,0,0
Ceriodaphnia,6-Nov-14,2014310,310,Cedar,2,0,0,0
Dentifera,17-Jul-14,2014198,198,Cedar,347,0.002881844,0.00729927,0.007352941
Dentifera,28-Jul-14,2014209,209,Cedar,300,0.003333333,0.010416667,0.010526316
Dentifera,11-Aug-14,2014223,223,Cedar,215,0.051162791,0.073333333,0.079136691
Dentifera,27-Aug-14,2014239,239,Cedar,244,0.045081967,0.091666667,0.100917431
Dentifera,11-Sep-14,2014254,254,Cedar,251,0.007968127,0.028169014,0.028985507
Dentifera,23-Sep-14,2014266,266,Cedar,200,0,0,0
Dentifera,10-Oct-14,2014283,283,Cedar,357,0.028011204,0.089285714,0.099009901
Dentifera,22-Oct-14,2014295,295,Cedar,574,0,0,0
Dentifera,6-Nov-14,2014310,310,Cedar,227,0,0,0
Dubia,17-Jul-14,2014198,198,Cedar,253,0.003952569,0.007874016,0.007936508
Dubia,28-Jul-14,2014209,209,Cedar,39,0,0,0
Dubia,11-Aug-14,2014223,223,Cedar,16,0.125,0.166666667,0.2
Dubia,27-Aug-14,2014239,239,Cedar,16,0,0,0
Dubia,11-Sep-14,2014254,254,Cedar,18,0,0,0
Dubia,23-Sep-14,2014266,266,Cedar,5,0,0,0
Dubia,10-Oct-14,2014283,283,Cedar,5,0,0,0
Dubia,22-Oct-14,2014295,295,Cedar,11,0,0,0
Dubia,6-Nov-14,2014310,310,Cedar,6,0,0,0
Pulicaria,17-Jul-14,2014198,198,Cedar,177,0,0,0
Pulicaria,28-Jul-14,2014209,209,Cedar,43,0,0,0
Pulicaria,11-Aug-14,2014223,223,Cedar,35,0,0,0
Pulicaria,27-Aug-14,2014239,239,Cedar,11,0,0,0
Pulicaria,23-Sep-14,2014266,266,Cedar,44,0,0,0
Pulicaria,10-Oct-14,2014283,283,Cedar,3,0,0,0
Pulicaria,22-Oct-14,2014295,295,Cedar,22,0,0,0
Pulicaria,6-Nov-14,2014310,310,Cedar,1,0,0,0
Retrocurva,17-Jul-14,2014198,198,Cedar,209,0,0,0
Retrocurva,28-Jul-14,2014209,209,Cedar,175,0.005714286,0.0125,0.012658228
Retrocurva,11-Aug-14,2014223,223,Cedar,68,0.044117647,0.071428571,0.076923077
Retrocurva,27-Aug-14,2014239,239,Cedar,208,0.014423077,0.036585366,0.037974684
Retrocurva,11-Sep-14,2014254,254,Cedar,230,0,0,0
Retrocurva,23-Sep-14,2014266,266,Cedar,203,0.004926108,0.012987013,0.013157895
Retrocurva,10-Oct-14,2014283,283,Cedar,353,0.005665722,0.022727273,0.023255814
Retrocurva,22-Oct-14,2014295,295,Cedar,211,0.014218009,0.035714286,0.037037037
Retrocurva,6-Nov-14,2014310,310,Cedar,214,0.004672897,0.012658228,0.012987013
Ambigua,26-Sep-14,2014269,269,CrookedP,2,0,0,0
Ceriodaphnia,23-Jul-14,2014204,204,CrookedP,161,0,0,0
Ceriodaphnia,4-Aug-14,2014216,216,CrookedP,204,0.014705882,0.030612245,0.031578947
Ceriodaphnia,18-Aug-14,2014230,230,CrookedP,210,0.014285714,0.025862069,0.026548673
Ceriodaphnia,2-Sep-14,2014245,245,CrookedP,280,0.014285714,0.021052632,0.021505376
Ceriodaphnia,15-Sep-14,2014258,258,CrookedP,202,0.00990099,0.018181818,0.018518519
Ceriodaphnia,29-Sep-14,2014272,272,CrookedP,196,0.005102041,0.00877193,0.008849558
Ceriodaphnia,14-Oct-14,2014287,287,CrookedP,231,0.008658009,0.014388489,0.017241379
Ceriodaphnia,27-Oct-14,2014300,300,CrookedP,126,0,0,0
Ceriodaphnia,11-Nov-14,2014315,315,CrookedP,13,0,0,0
Dentifera,23-Jul-14,2014204,204,CrookedP,317,0.012618297,0.028169014,0.028985507
Dentifera,4-Aug-14,2014216,216,CrookedP,214,0.018691589,0.037383178,0.038834951
Dentifera,18-Aug-14,2014230,230,CrookedP,205,0.034146341,0.067961165,0.072916667
Dentifera,2-Sep-14,2014245,245,CrookedP,336,0.005952381,0.016949153,0.017094017
Dentifera,15-Sep-14,2014258,258,CrookedP,272,0.018382353,0.03968254,0.041322314
Dentifera,29-Sep-14,2014272,272,CrookedP,212,0.018867925,0.048192771,0.050632911
Dentifera,14-Oct-14,2014287,287,CrookedP,254,0.003937008,0.00862069,0.008695652
Dentifera,27-Oct-14,2014300,300,CrookedP,245,0,0,0
Dentifera,11-Nov-14,2014315,315,CrookedP,245,0.004081633,0.007751938,0.028571429
Parvula,4-Aug-14,2014216,216,CrookedP,209,0,0,0
Parvula,18-Aug-14,2014230,230,CrookedP,210,0,0,0
Parvula,2-Sep-14,2014245,245,CrookedP,201,0,0,0
Parvula,15-Sep-14,2014258,258,CrookedP,203,0.004926108,0.007518797,0.007575758
Parvula,26-Sep-14,2014269,269,CrookedP,232,0,0,0
Parvula,14-Oct-14,2014287,287,CrookedP,206,0,0,0
Parvula,27-Oct-14,2014300,300,CrookedP,239,0,0,0
Parvula,11-Nov-14,2014315,315,CrookedP,247,0,0,0
Pulicaria,4-Aug-14,2014216,216,CrookedP,104,0.086538462,0.128571429,0.147540984
Pulicaria,18-Aug-14,2014230,230,CrookedP,1,0,0,0
Pulicaria,2-Sep-14,2014245,245,CrookedP,2,0,0,0
Retrocurva,23-Jul-14,2014204,204,CrookedP,17,0,0,0
Retrocurva,4-Aug-14,2014216,216,CrookedP,149,0.013422819,0.039215686,0.040816327
Retrocurva,18-Aug-14,2014230,230,CrookedP,90,0,0,0
Retrocurva,2-Sep-14,2014245,245,CrookedP,202,0.024752475,0.049019608,0.051020408
Retrocurva,15-Sep-14,2014258,258,CrookedP,164,0.012195122,0.027027027,0.027777778
Retrocurva,29-Sep-14,2014272,272,CrookedP,203,0.039408867,0.068965517,0.074074074
Retrocurva,14-Oct-14,2014287,287,CrookedP,121,0,0,0
Retrocurva,27-Oct-14,2014300,300,CrookedP,197,0,0,0
Retrocurva,11-Nov-14,2014315,315,CrookedP,188,0,0,0
Ceriodaphnia,17-Jul-14,2014198,198,CrookedW,2,0,0,0
Ceriodaphnia,28-Jul-14,2014209,209,CrookedW,1,0,0,0
Ceriodaphnia,11-Aug-14,2014223,223,CrookedW,1,0,0,0
Ceriodaphnia,27-Aug-14,2014239,239,CrookedW,2,0,0,0
Ceriodaphnia,11-Sep-14,2014254,254,CrookedW,23,0,0,0
Ceriodaphnia,23-Sep-14,2014266,266,CrookedW,16,0,0,0
Ceriodaphnia,10-Oct-14,2014283,283,CrookedW,25,0,0,0
Ceriodaphnia,22-Oct-14,2014295,295,CrookedW,3,0,0,0
Ceriodaphnia,6-Nov-14,2014310,310,CrookedW,2,0,0,0
Dentifera,17-Jul-14,2014198,198,CrookedW,203,0,0,0
Dentifera,28-Jul-14,2014209,209,CrookedW,261,0,0,0
Dentifera,11-Aug-14,2014223,223,CrookedW,438,0,0,0
Dentifera,27-Aug-14,2014239,239,CrookedW,224,0.004464286,0.009708738,0.009803922
Dentifera,11-Sep-14,2014254,254,CrookedW,255,0,0,0
Dentifera,23-Sep-14,2014266,266,CrookedW,611,0,0,0
Dentifera,10-Oct-14,2014283,283,CrookedW,210,0,0,0
Dentifera,22-Oct-14,2014295,295,CrookedW,92,0,0,0
Dentifera,6-Nov-14,2014310,310,CrookedW,4,0,0,0
Dubia,17-Jul-14,2014198,198,CrookedW,209,0,0,0
Dubia,28-Jul-14,2014209,209,CrookedW,209,0,0,0
Dubia,11-Aug-14,2014223,223,CrookedW,202,0,0,0
Dubia,27-Aug-14,2014239,239,CrookedW,202,0.014851485,0.034482759,0.035714286
Dubia,11-Sep-14,2014254,254,CrookedW,209,0,0,0
Dubia,23-Sep-14,2014266,266,CrookedW,214,0.018691589,0.059701493,0.063492063
Dubia,10-Oct-14,2014283,283,CrookedW,149,0.026845638,0.088888889,0.097560976
Dubia,22-Oct-14,2014295,295,CrookedW,88,0.045454545,0.102564103,0.121212121
Dubia,6-Nov-14,2014310,310,CrookedW,32,0.03125,0.1,0.111111111
Retrocurva,6-Nov-14,2014310,310,CrookedW,243,0.008230453,0.033898305,0.040816327
Retrocurva,17-Jul-14,2014198,198,CrookedW,132,0,0,0
Retrocurva,25-Jul-14,2014206,206,CrookedW,86,0,0,0
Retrocurva,11-Aug-14,2014223,223,CrookedW,232,0,0,0
Retrocurva,27-Aug-14,2014239,239,CrookedW,243,0.008230453,0.019607843,0.02
Retrocurva,11-Sep-14,2014254,254,CrookedW,233,0,0,0
Retrocurva,23-Sep-14,2014266,266,CrookedW,413,0.00968523,0.021621622,0.022099448
Retrocurva,10-Oct-14,2014283,283,CrookedW,203,0.039408867,0.166666667,0.2
Retrocurva,22-Oct-14,2014295,295,CrookedW,208,0.028846154,0.052173913,0.055045872
Ambigua,5-Aug-14,2014217,217,Gosling,4,0,0,0
Ambigua,21-Aug-14,2014233,233,Gosling,1,0,0,0
Ambigua,4-Sep-14,2014247,247,Gosling,3,0,0,0
Ambigua,18-Sep-14,2014261,261,Gosling,1,0,0,0
Ambigua,17-Oct-14,2014290,290,Gosling,10,0.1,0.166666667,0.2
Ambigua,31-Oct-14,2014304,304,Gosling,1,0,0,0
Ceriodaphnia,25-Jul-14,2014206,206,Gosling,541,0.003696858,0.008474576,0.008547009
Ceriodaphnia,5-Aug-14,2014217,217,Gosling,282,0,0,0
Ceriodaphnia,21-Aug-14,2014233,233,Gosling,200,0.01,0.019230769,0.019607843
Ceriodaphnia,4-Sep-14,2014247,247,Gosling,356,0,0,0
Ceriodaphnia,18-Sep-14,2014261,261,Gosling,397,0,0,0
Ceriodaphnia,3-Oct-14,2014276,276,Gosling,244,0,0,0
Ceriodaphnia,17-Oct-14,2014290,290,Gosling,145,0.006896552,0.011111111,0.011904762
Ceriodaphnia,31-Oct-14,2014304,304,Gosling,4,0,0,0
Ceriodaphnia,14-Nov-14,2014318,318,Gosling,18,0,0,0
Dentifera,25-Jul-14,2014206,206,Gosling,278,0.017985612,0.045454545,0.047619048
Dentifera,5-Aug-14,2014217,217,Gosling,202,0.004950495,0.012987013,0.013157895
Dentifera,21-Aug-14,2014233,233,Gosling,228,0.013157895,0.026315789,0.027027027
Dentifera,4-Sep-14,2014247,247,Gosling,238,0.012605042,0.039473684,0.04109589
Dentifera,18-Sep-14,2014261,261,Gosling,573,0.006980803,0.01369863,0.013888889
Dentifera,3-Oct-14,2014276,276,Gosling,329,0.003039514,0.010309278,0.010416667
Dentifera,17-Oct-14,2014290,290,Gosling,242,0.024793388,0.063157895,0.076923077
Dentifera,31-Oct-14,2014304,304,Gosling,60,0,0,0
Dentifera,14-Nov-14,2014318,318,Gosling,56,0,0,0
Parvula,5-Aug-14,2014217,217,Gosling,215,0.004651163,0.007352941,0.007407407
Parvula,21-Aug-14,2014233,233,Gosling,202,0,0,0
Parvula,4-Sep-14,2014247,247,Gosling,206,0,0,0
Parvula,18-Sep-14,2014261,261,Gosling,210,0,0,0
Parvula,3-Oct-14,2014276,276,Gosling,19,0,0,0
